E07000092,Rushmoor,South East,E12000008,495,245,250,,149,89,33,9,17,1,,66,30,,103,53,18,20,2,10,,92,85,,67,,18,13,5,0
E06000017,Rutland,East Midlands,E12000004,42,26,16,,22,11,8,0,2,1,,1,3,,12,2,7,1,1,1,,3,4,,1,,3,3,0,0
E07000167,Ryedale,Yorkshire and The Humber,E12000003,189,159,30,,118,38,47,19,10,4,,24,17,,24,9,4,7,2,2,,7,16,,15,,1,1,0,0
E08000006,Salford,North West,E12000002,"2,447",551,"1,896",,202,60,104,7,8,23,,106,243,,642,84,436,21,2,99,,371,"1,126",,420,,706,633,53,20
E08000028,Sandwell,West Midlands,E12000005,598,376,222,,257,71,98,34,33,21,,68,51,,156,26,96,11,5,18,,28,89,,72,,17,8,9,0
E07000168,Scarborough,Yorkshire and The Humber,E12000003,740,463,277,,245,191,28,4,15,7,,65,153,,237,91,99,13,14,20,,72,121,,91,,30,21,9,0
E07000188,Sedgemoor,South West,E12000009,617,387,230,,221,108,72,20,8,13,,75,91,,84,25,19,18,4,18,,70,167,,100,,67,43,8,16
E08000014,Sefton,North West,E12000002,578,388,190,,233,85,103,24,13,8,,136,19,,142,16,72,44,4,6,,42,25,,5,,20,16,4,0
E07000169,Selby,Yorkshire and The Humber,E12000003,281,180,101,,105,44,36,15,5,5,,37,38,,71,13,33,10,0,15,,27,41,,15,,26,18,4,4
E07000111,Sevenoaks,South East,E12000008,493,343,150,,145,57,50,11,14,13,,169,29,,52,10,23,3,5,11,,24,103,,44,,59,31,8,20
E08000019,Sheffield,Yorkshire and The Humber,E12000003,"2,366",683,"1,683",,315,51,81,103,23,57,,202,166,,"1,061",87,268,480,51,175,,551,237,,182,,55,39,14,2
E06000051,Shropshire,West Midlands,E12000005,"1,021",443,578,,331,88,105,17,7,114,,62,50,,187,35,72,26,6,48,,167,274,,165,,109,75,23,11
E06000039,Slough,South East,E12000008,448,278,170,,110,62,6,9,18,15,,110,58,,79,28,11,6,8,26,,46,103,,78,,25,20,5,0
E08000029,Solihull,West Midlands,E12000005,998,353,645,,127,26,33,38,28,2,,110,116,,215,39,64,83,21,8,,152,394,,295,,99,80,19,0
E07000006,South Bucks,South East,E12000008,94,34,60,,9,3,6,0,0,0,,3,22,,10,1,2,1,0,6,,15,57,,49,,8,4,0,4
E07000012,South Cambridgeshire,East of England,E12000006,491,331,160,,210,50,127,9,13,11,,41,80,,77,14,19,2,3,39,,43,120,,97,,23,12,10,1
E07000039,South Derbyshire,East Midlands,E12000004,237,146,91,,72,12,47,4,0,9,,41,33,,63,5,23,8,3,24,,24,37,,33,,4,0,3,1
E06000025,South Gloucestershire,South West,E12000009,925,690,235,,474,196,156,83,29,10,,78,138,,107,22,30,30,10,15,,40,226,,171,,55,26,21,8
E07000044,South Hams,South West,E12000009,435,379,56,,335,160,129,3,33,10,,26,18,,50,17,22,3,3,5,,14,10,,3,,7,5,2,0
E07000140,South Holland,East Midlands,E12000004,321,141,180,,79,41,20,3,9,6,,20,42,,149,34,88,13,9,5,,28,45,,33,,12,9,3,0
E07000141,South Kesteven,East Midlands,E12000004,760,434,326,,190,77,88,5,2,18,,68,176,,183,57,56,29,2,39,,148,171,,88,,83,51,19,13
E07000031,South Lakeland,North West,E12000002,240,98,142,,57,21,27,6,0,3,,27,14,,75,18,27,3,1,26,,42,39,,32,,7,4,1,2
E07000149,South Norfolk,East of England,E12000006,285,166,119,,121,17,88,12,3,1,,28,17,,83,4,37,15,1,26,,23,30,,18,,12,3,9,0
E07000155,South Northamptonshire,East Midlands,E12000004,184,129,55,,92,21,66,1,3,1,,19,18,,48,6,34,0,4,4,,15,10,,5,,5,3,2,0
E07000179,South Oxfordshire,South East,E12000008,276,219,57,,169,42,90,9,23,5,,31,19,,46,11,16,8,6,5,,9,21,,8,,13,8,2,3
E07000126,South Ribble,North West,E12000002,622,459,163,,303,73,183,17,14,16,,119,37,,66,14,27,9,5,11,,66,68,,38,,30,21,8,1
E07000189,South Somerset,South West,E12000009,427,273,154,,129,67,43,11,4,4,,41,103,,84,32,27,12,2,11,,33,140,,101,,39,31,6,2
E07000196,South Staffordshire,West Midlands,E12000005,121,91,30,,44,18,8,0,14,4,,31,16,,26,6,5,3,8,4,,17,3,,0,,3,3,0,0
E08000023,South Tyneside,North East,E12000001,"1,034",826,208,,457,100,271,62,12,12,,359,10,,140,47,40,28,1,24,,77,1,,1,,0,0,0,0
E06000045,Southampton,South East,E12000008,696,386,310,,229,81,112,8,24,4,,39,118,,172,35,17,52,5,63,,47,209,,196,,13,4,6,3
E06000033,Southend-on-Sea,East of England,E12000006,859,422,437,,227,187,22,10,3,5,,104,91,,159,84,14,18,1,42,,174,195,,158,,37,6,30,1
E09000028,Southwark,London,E12000007,"2,309","1,292","1,017",,969,223,430,2,28,286,,110,213,,193,40,1,7,7,138,,208,829,,621,,208,170,27,11
E07000213,Spelthorne,South East,E12000008,482,335,147,,176,99,54,7,11,5,,85,74,,60,26,7,7,2,18,,58,103,,80,,23,17,3,3
E07000240,St Albans,East of England,E12000006,437,228,209,,98,35,24,14,10,15,,43,87,,42,17,1,9,2,13,,28,226,,148,,78,64,9,5
E07000204,St Edmundsbury,East of England,E12000006,497,287,210,,223,26,179,13,3,2,,30,34,,107,11,25,37,4,30,,54,83,,50,,33,22,11,0
E08000013,St Helens,North West,E12000002,713,456,257,,311,51,216,29,7,8,,102,43,,216,18,78,99,4,17,,46,38,,12,,26,24,2,0
E07000197,Stafford,West Midlands,E12000005,429,187,242,,109,26,63,6,4,10,,68,10,,123,19,48,21,2,33,,93,36,,7,,29,24,4,1
E07000198,Staffordshire Moorlands,West Midlands,E12000005,287,182,105,,118,47,45,5,11,10,,45,19,,57,11,15,4,10,17,,53,14,,7,,7,5,1,1
E07000243,Stevenage,East of England,E12000006,203,118,85,,41,15,15,4,5,2,,36,41,,24,2,1,0,0,21,,37,65,,48,,17,9,6,2
E08000007,Stockport,North West,E12000002,900,521,379,,328,75,167,4,70,12,,92,101,,172,10,78,4,5,75,,66,242,,101,,141,119,20,2
E06000004,Stockton-on-Tees,North East,E12000001,"1,615","1,022",593,,759,253,334,72,84,16,,240,23,,492,37,9,389,17,40,,101,23,,11,,12,9,3,0
E06000021,Stoke-on-Trent,West Midlands,E12000005,"1,332",726,606,,532,105,251,53,38,85,,185,9,,439,25,53,49,4,308,,148,28,,4,,24,14,2,8
E07000221,Stratford-on-Avon,West Midlands,E12000005,483,266,217,,185,40,126,5,4,10,,39,42,,122,18,60,13,1,30,,21,116,,78,,38,29,8,1
E07000082,Stroud,South West,E12000009,383,242,141,,178,46,91,13,3,25,,40,24,,100,13,47,10,1,29,,43,22,,10,,12,10,2,0
E07000205,Suffolk Coastal,East of England,E12000006,249,154,95,,79,27,36,6,4,6,,56,19,,47,8,12,13,0,14,,42,25,,9,,16,9,6,1
E08000024,Sunderland,North East,E12000001,"1,313",376,937,,288,91,147,32,11,7,,53,35,,604,136,193,214,17,44,,279,89,,44,,45,31,3,11
E07000214,Surrey Heath,South East,E12000008,318,179,139,,103,76,9,10,1,7,,18,58,,71,17,15,13,1,25,,39,87,,31,,56,50,6,0
E09000029,Sutton,London,E12000007,782,326,456,,181,107,32,6,31,5,,31,114,,119,54,21,13,12,19,,85,366,,273,,93,68,16,9
E07000113,Swale,South East,E12000008,652,294,358,,118,62,28,11,14,3,,102,74,,78,11,7,10,5,45,,66,288,,178,,110,81,28,1
E06000030,Swindon,South West,E12000009,273,70,203,,57,36,4,10,7,0,,9,4,,170,66,21,66,10,7,,35,2,,1,,1,1,0,0
E08000008,Tameside,North West,E12000002,"1,374",749,625,,425,86,184,38,68,49,,218,106,,221,24,36,26,16,119,,272,238,,143,,95,68,25,2
E07000199,Tamworth,West Midlands,E12000005,303,146,157,,87,38,14,22,10,3,,28,31,,77,24,12,16,18,7,,19,92,,60,,32,22,10,0
E07000215,Tandridge,South East,E12000008,243,166,77,,84,46,17,9,6,6,,47,35,,44,18,6,8,1,11,,30,38,,24,,14,8,6,0
E07000190,Taunton Deane,South West,E12000009,372,148,224,,88,40,18,11,8,11,,41,19,,167,38,25,64,6,34,,63,13,,13,,0,0,0,0
E07000045,Teignbridge,South West,E12000009,643,534,109,,338,186,62,46,34,10,,137,59,,67,29,10,17,4,7,,30,71,,41,,30,15,15,0
E06000020,Telford & Wrekin,West Midlands,E12000005,381,189,192,,102,68,30,1,2,1,,69,18,,98,48,34,8,4,4,,55,57,,32,,25,23,2,0
E07000076,Tendring,East of England,E12000006,660,262,398,,144,108,19,2,9,6,,49,69,,225,151,39,7,15,13,,109,133,,49,,84,54,30,0
E07000093,Test Valley,South East,E12000008,537,365,172,,264,101,110,30,7,16,,71,30,,134,19,26,59,3,27,,62,6,,5,,1,1,0,0
E07000083,Tewkesbury,South West,E12000009,338,181,157,,94,33,49,5,3,4,,36,51,,65,13,30,5,3,14,,31,112,,63,,49,33,10,6
E07000114,Thanet,South East,E12000008,"1,268",748,520,,438,333,49,16,33,7,,198,112,,112,88,7,2,2,13,,215,305,,137,,168,98,29,41
E07000102,Three Rivers,East of England,E12000006,225,154,71,,97,46,19,1,27,4,,19,38,,31,2,9,4,5,11,,12,66,,59,,7,6,1,0
E06000034,Thurrock,East of England,E12000006,795,503,292,,194,121,20,2,36,15,,179,130,,162,107,14,14,7,20,,84,176,,102,,74,68,6,0
E07000115,Tonbridge & Malling,South East,E12000008,340,167,173,,93,38,25,7,15,8,,48,26,,70,14,13,14,10,19,,34,95,,54,,41,29,4,8
E06000027,Torbay,South West,E12000009,337,108,229,,48,27,12,4,4,1,,19,41,,81,49,10,11,7,4,,41,148,,77,,71,27,12,32
E07000046,Torridge,South West,E12000009,425,243,182,,150,97,44,3,6,0,,36,57,,118,58,28,9,3,20,,33,88,,37,,51,26,25,0
E09000030,Tower Hamlets,London,E12000007,721,376,345,,190,62,85,14,19,10,,80,106,,152,19,6,89,4,34,,134,165,,153,,12,8,3,1
E08000009,Trafford,North West,E12000002,904,551,353,,219,60,56,37,55,11,,141,191,,177,36,50,43,12,36,,110,257,,179,,78,53,0,25
E07000116,Tunbridge Wells,South East,E12000008,503,278,225,,137,66,28,25,8,10,,102,39,,62,18,3,19,1,21,,69,133,,66,,67,49,13,5
E07000077,Uttlesford,East of England,E12000006,162,71,91,,42,2,28,4,3,5,,14,15,,56,2,31,6,2,15,,15,35,,23,,12,4,8,0
E07000180,Vale of White Horse,South East,E12000008,256,200,56,,155,32,95,8,15,5,,24,21,,40,8,17,12,1,2,,10,27,,13,,14,6,7,1
E08000036,Wakefield,Yorkshire and The Humber,E12000003,"1,266",846,420,,335,91,198,17,26,3,,327,184,,86,20,38,20,6,2,,127,391,,305,,86,39,47,0
E08000030,Walsall,West Midlands,E12000005,"1,078",524,554,,320,107,89,70,22,32,,124,80,,365,84,63,81,14,123,,129,140,,123,,17,6,10,1
E09000031,Waltham Forest,London,E12000007,"1,082",681,401,,257,100,10,25,114,8,,237,187,,152,104,7,18,17,6,,112,324,,143,,181,152,29,0
E09000032,Wandsworth,London,E12000007,109,66,43,,38,9,17,0,6,6,,20,8,,9,4,2,1,1,1,,13,29,,25,,4,0,0,4
E06000007,Warrington,North West,E12000002,"1,380",684,696,,416,63,271,50,12,20,,193,75,,467,15,143,162,9,138,,241,63,,31,,32,17,14,1
E07000222,Warwick,West Midlands,E12000005,388,226,162,,142,33,65,15,19,10,,68,16,,120,24,27,23,7,39,,47,11,,2,,9,6,2,1
E07000103,Watford,East of England,E12000006,126,40,86,,23,10,2,1,7,3,,8,9,,30,9,3,1,2,15,,10,55,,50,,5,1,4,0
E07000206,Waveney,East of England,E12000006,873,567,306,,316,120,117,45,8,26,,181,70,,158,41,12,43,10,52,,137,81,,24,,57,42,11,4
E07000216,Waverley,South East,E12000008,213,154,59,,107,60,15,4,23,5,,45,2,,40,13,2,16,6,3,,14,7,,0,,7,6,1,0
E07000065,Wealden,South East,E12000008,418,226,192,,106,69,31,2,0,4,,48,72,,105,34,44,6,1,20,,69,90,,45,,45,26,13,6
E07000156,Wellingborough,East Midlands,E12000004,368,178,190,,84,26,32,7,18,1,,30,64,,85,19,31,20,7,8,,41,128,,79,,49,32,17,0
E07000241,Welwyn Hatfield,East of England,E12000006,797,530,267,,168,38,30,43,40,17,,245,117,,100,5,18,37,6,34,,56,228,,152,,76,38,18,20
E06000037,West Berkshire,South East,E12000008,559,280,279,,184,54,100,10,10,10,,64,32,,143,25,3,39,6,70,,108,60,,27,,33,23,8,2
E07000047,West Devon,South West,E12000009,290,254,36,,220,129,58,3,19,11,,19,15,,34,9,16,2,3,4,,7,10,,3,,7,6,1,0
E07000052,West Dorset,South West,E12000009,214,104,110,,59,20,17,5,8,9,,31,14,,43,10,9,4,3,17,,39,42,,28,,14,12,1,1
E07000127,West Lancashire,North West,E12000002,138,42,96,,24,5,15,1,2,1,,12,6,,51,5,38,0,0,8,,24,27,,4,,23,21,2,0
E07000142,West Lindsey,East Midlands,E12000004,309,158,151,,122,46,54,9,3,10,,28,8,,115,25,22,19,15,34,,42,2,,1,,1,1,0,0
E07000181,West Oxfordshire,South East,E12000008,293,162,131,,92,16,62,13,0,1,,37,33,,35,3,13,6,2,11,,56,73,,50,,23,18,4,1
E07000191,West Somerset,South West,E12000009,56,30,26,,23,16,2,0,4,1,,5,2,,17,6,2,2,2,5,,5,6,,5,,1,1,0,0
E09000033,Westminster,London,E12000007,913,292,621,,169,149,5,2,8,5,,55,68,,204,38,8,27,10,121,,157,328,,248,,80,47,29,4
E07000053,Weymouth & Portland,South West,E12000009,396,191,205,,120,71,21,9,3,16,,45,26,,71,28,3,8,2,30,,77,83,,45,,38,29,7,2
E08000010,Wigan,North West,E12000002,464,398,66,,261,60,175,10,11,5,,127,10,,41,3,29,6,2,1,,28,7,,3,,4,1,3,0
E06000054,Wiltshire,South West,E12000009,"1,581","1,098",483,,737,147,290,221,57,22,,140,221,,404,28,111,164,23,78,,143,157,,118,,39,27,11,1
E07000094,Winchester,South East,E12000008,271,172,99,,122,54,34,8,20,6,,26,24,,54,16,8,16,9,5,,19,50,,44,,6,1,5,0
E06000040,Windsor & Maidenhead,South East,E12000008,245,157,88,,57,26,12,1,6,12,,44,56,,24,5,11,1,2,5,,21,99,,79,,20,17,3,0
E08000015,Wirral,North West,E12000002,949,404,545,,182,68,77,22,3,12,,138,84,,359,73,111,95,4,76,,188,82,,49,,33,9,22,2
E07000217,Woking,South East,E12000008,16,12,4,,9,5,4,0,0,0,,2,1,,3,1,1,0,0,1,,2,0,,0,,0,0,0,0
E06000041,Wokingham,South East,E12000008,221,123,98,,42,24,10,1,7,0,,38,43,,28,11,12,0,1,4,,32,81,,71,,10,4,6,0
E08000031,Wolverhampton,West Midlands,E12000005,956,575,381,,226,99,73,13,37,4,,194,155,,199,10,31,6,2,150,,144,193,,162,,31,23,4,4
E07000237,Worcester,West Midlands,E12000005,842,346,496,,173,37,72,30,26,8,,66,107,,240,46,110,48,27,9,,164,199,,145,,54,45,9,0
E07000229,Worthing,South East,E12000008,382,226,156,,148,86,23,10,25,4,,48,30,,80,13,2,26,2,37,,43,63,,52,,11,3,7,1
E07000238,Wychavon,West Midlands,E12000005,464,208,256,,120,32,68,2,11,7,,35,53,,149,23,96,8,18,4,,45,115,,56,,59,53,6,0
E07000007,Wycombe,South East,E12000008,555,411,144,,228,120,40,34,25,9,,121,62,,52,16,7,8,4,17,,46,108,,72,,36,24,10,2
E07000128,Wyre,North West,E12000002,450,411,39,,300,145,80,28,33,14,,93,18,,42,22,4,9,5,2,,15,0,,0,,0,0,0,0
E07000239,Wyre Forest,West Midlands,E12000005,465,246,219,,172,49,88,25,8,2,,57,17,,124,33,51,18,3,19,,48,64,,20,,44,39,4,1
E06000014,York,Yorkshire and The Humber,E12000003,747,525,222,,236,113,50,25,41,7,,154,135,,176,23,56,75,10,12,,72,109,,81,,28,17,11,0

Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1,The starting number of households include only cases that have routed to completion. Local authority level omissions are included in table F3. Cohort specific breakdowns include the same case omissions where applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2,All households includes a very small number of households where household type was difficult to determine and so are not classifiable as single households or families.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3,"Private rented sector accommodation outcomes include self contained, HMO and lodging (not with family or friends). These breakdowns can be found in tables P2 and R2 of the quarterly release.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4,Other / not reported accommodation outcomes includes owner occupiers that are too small an outcomes group to represent in flows. These can be found in tables P2 and R2 of the quarterly statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5,"Other / not reported reasons for ending a prevention duty can be found in table P1 of the quarterly statistics. They include intentionally homeless, refused suitable accommodation offer, refused to cooperate, contact lost, withdrew application / applicant deceased, 56 days elapsed and no further action, and no longer eligible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6,Households whose relief duty ends match the total initial relief duties owed plus the number of households that are homeless at the end of prevention and owed a relief duty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7,"Other includes local connection accepted by another local authority, intentionally homeless from accommodation provided, refused final accommodation, notice served due to refusal to cooperate, contact lost, withdrew application / applicant deceased, no longer eligible and not known / not reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 8,"Other includes: Lost contact prior to assessment, withdrew prior to assessment, not eligible, and not homeless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Total figures are presented rounded to the nearest 10 households.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Totals may not equal the sum of components because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MHCLG H-CLIC Homelessness returns (quarterly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Email: homelessnessstats@communities.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Latest update: October 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,





"Table F3 - Homelessness cases excluded from flow statistics, by local authority
England, April 2018 to March 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number of households
,,,,"Prevention duties owed, as reported for 2018-191","Prevention duties included in flows
 (Tables F1 & F2)2,3",Total Prevention duties omitted from flows due to quality issues3,Of which omitted due to…,,,," Relief duties initially owed, as reported for 2018-191","Relief duties included in flows
 (Tables F1 & F2)2,3",Total Relief duties omitted from flows due to quality issues3,Of which omitted due to…,
,,,,,,,Prevention outcome missing,"Prevention ended with homelessness, Relief outcome missing","Prevention followed by Relief ending with homelessness, Main duty decision missing",,,,,Relief outcome missing,"Relief ended with homelessness, Main duty decision missing"
E92000001,ENGLAND,,,"147,880","124,030","20,950","17,530","2,200","1,230",,"121,630","98,550","21,340","17,310","4,040"
E12000007,London,,,"30,670","20,440","8,940","7,410",810,720,,"22,530","14,000","8,930","7,150","1,780"
-,Rest of England,,,"117,200","103,590","12,010","10,120","1,390",500,,"99,100","84,550","12,410","10,160","2,250"

E12000001,North East,,,"8,260","7,580",630,600,30,0,,"6,580","5,750",850,790,60
E12000002,North West,,,"19,290","17,540",930,840,80,10,,"18,400","16,530","1,230","1,090",140
E12000003,Yorkshire and The Humber,,,"14,350","13,450",940,790,110,40,,"11,590","10,610","1,140",730,410
E12000004,East Midlands,,,"12,230","10,840","1,320","1,030",190,110,,"9,780","8,430","1,210",910,300
E12000005,West Midlands,,,"11,410","8,520","2,940","2,670",230,50,,"12,780","9,700","3,110","2,690",420
E12000006,East of England,,,"15,620","13,690","1,590","1,230",260,90,,"12,550","10,310","1,590","1,240",340
E12000007,London,,,"30,670","20,440","8,940","7,410",810,720,,"22,530","14,000","8,930","7,150","1,780"
E12000008,South East,,,"21,190","18,500","2,480","2,030",290,160,,"16,450","13,860","2,260","1,840",410
E12000009,South West,,,"14,860","13,480","1,180",940,190,50,,"10,980","9,350","1,020",870,160

E07000223,Adur,South East,E12000008,104,92,12,9,2,1,,61,58,6,2,4
E07000026,Allerdale,North West,E12000002,155,152,2,2,0,0,,183,183,1,1,0
E07000032,Amber Valley,East Midlands,E12000004,435,427,1,1,0,0,,195,188,7,1,6
E07000224,Arun,South East,E12000008,481,303,176,158,16,2,,331,192,128,124,4
E07000170,Ashfield,East Midlands,E12000004,225,219,9,8,0,1,,212,197,14,11,3
E07000105,Ashford,South East,E12000008,487,479,7,5,1,1,,240,237,3,2,1
E07000004,Aylesbury Vale,South East,E12000008,531,523,8,5,1,2,,309,305,5,1,4
E07000200,Babergh,East of England,E12000006,211,193,22,21,1,0,,72,65,6,6,0
E09000002,Barking & Dagenham,London,E12000007,"1,260","1,193",54,41,12,1,,303,341,16,14,2
E09000003,Barnet,London,E12000007,"1,193","1,061",203,111,38,54,,686,586,151,47,104
E08000016,Barnsley,Yorkshire and The Humber,E12000003,211,204,8,5,3,0,,259,251,10,9,1
E07000027,Barrow-in-Furness,North West,E12000002,157,154,3,2,1,0,,144,138,6,3,3
E07000066,Basildon,East of England,E12000006,550,532,18,10,2,6,,401,383,15,5,10
E07000084,Basingstoke & Deane,South East,E12000008,200,184,11,11,0,0,,154,146,9,7,2
E07000171,Bassetlaw,East Midlands,E12000004,287,278,6,4,2,0,,182,183,0,0,0
E06000022,Bath & North East Somerset,South West,E12000009,334,327,5,5,0,0,,117,115,5,5,0
E06000055,Bedford,East of England,E12000006,407,401,4,3,1,0,,529,516,15,13,2
E09000004,Bexley,London,E12000007,499,483,19,7,11,1,,487,485,11,2,9
E08000025,Birmingham,West Midlands,E12000005,"2,516",808,"1,711","1,563",136,12,,"3,214","1,143","2,094","1,845",249
E07000129,Blaby,East Midlands,E12000004,152,43,109,106,3,0,,151,60,94,93,1
E06000008,Blackburn with Darwen,North West,E12000002,"1,040","1,038",3,3,0,0,,186,182,4,2,2
E06000009,Blackpool,North West,E12000002,424,411,3,2,1,0,,674,660,6,6,0
E07000033,Bolsover,East Midlands,E12000004,80,81,0,0,0,0,,62,59,1,1,0
E08000001,Bolton,North West,E12000002,708,653,59,49,10,0,,"1,046",958,98,95,3
E07000136,Boston,East Midlands,E12000004,83,83,0,0,0,0,,68,65,3,0,3
E06000028,Bournemouth,South West,E12000009,922,676,258,215,42,1,,899,690,201,199,2
E06000036,Bracknell Forest,South East,E12000008,134,132,3,1,2,0,,162,162,4,3,1
E08000032,Bradford,Yorkshire and The Humber,E12000003,814,813,31,24,4,3,,"1,174","1,165",39,30,9
E07000067,Braintree,East of England,E12000006,297,290,10,4,6,0,,187,186,6,6,0
E07000143,Breckland,East of England,E12000006,187,120,71,65,5,1,,280,160,123,111,12
E09000005,Brent,London,E12000007,"1,266","1,002",202,161,23,18,,"1,525","1,057",496,282,214
E07000068,Brentwood,East of England,E12000006,88,77,11,7,3,1,,87,74,13,5,8
E06000043,Brighton & Hove,South East,E12000008,…,342,199,171,27,1,,…,544,270,246,24
E06000023,Bristol,South West,E12000009,580,546,19,18,1,0,,"1,142","1,108",6,6,0
E07000144,Broadland,East of England,E12000006,107,85,25,22,3,0,,99,91,18,14,4
E09000006,Bromley,London,E12000007,579,320,315,296,13,6,,384,111,288,260,28
E07000234,Bromsgrove,West Midlands,E12000005,168,155,2,2,0,0,,72,73,0,0,0
E07000095,Broxbourne,East of England,E12000006,316,309,7,5,1,1,,194,190,5,1,4
E07000172,Broxtowe,East Midlands,E12000004,244,239,2,2,0,0,,109,108,0,0,0
E07000117,Burnley,North West,E12000002,280,271,9,9,0,0,,392,387,6,5,1
E08000002,Bury,North West,E12000002,315,309,6,3,3,0,,603,589,9,2,7
E08000033,Calderdale,Yorkshire and The Humber,E12000003,526,520,6,6,0,0,,260,258,2,2,0
E07000008,Cambridge,East of England,E12000006,302,284,12,11,1,0,,319,314,6,5,1
E09000007,Camden,London,E12000007,543,478,79,38,40,1,,483,366,116,110,6
E07000192,Cannock Chase,West Midlands,E12000005,101,83,19,18,1,0,,81,61,21,20,1
E07000106,Canterbury,South East,E12000008,293,279,17,15,2,0,,660,592,67,49,18
E07000028,Carlisle,North West,E12000002,262,232,1,0,1,0,,248,222,3,3,0
E07000069,Castle Point,East of England,E12000006,165,155,11,10,1,0,,139,129,5,4,1
E06000056,Central Bedfordshire,East of England,E12000006,421,413,13,9,0,4,,372,350,14,7,7
E07000130,Charnwood,East Midlands,E12000004,247,107,140,100,35,5,,310,161,150,140,10
E07000070,Chelmsford,East of England,E12000006,437,344,79,73,6,0,,289,254,43,43,0
E07000078,Cheltenham,South West,E12000009,229,227,5,3,1,1,,263,260,4,3,1
E07000177,Cherwell,South East,E12000008,253,251,1,1,0,0,,141,140,2,1,1
E06000049,Cheshire East,North West,E12000002,809,768,41,41,0,0,,488,465,25,25,0
E06000050,Cheshire West & Chester,North West,E12000002,"1,115","1,085",36,31,2,3,,727,702,22,17,5
E07000034,Chesterfield,East Midlands,E12000004,63,63,0,0,0,0,,284,281,2,2,0
E07000225,Chichester,South East,E12000008,139,114,41,26,14,1,,173,130,62,56,6
E07000005,Chiltern,South East,E12000008,49,42,7,6,1,0,,73,66,8,4,4
E07000118,Chorley,North West,E12000002,684,670,23,23,0,0,,53,52,0,0,0
E07000048,Christchurch,South West,E12000009,141,111,30,24,6,0,,127,99,28,28,0
E09000001,City of London,London,E12000007,5,6,0,0,0,0,,21,16,4,3,1
E07000071,Colchester,East of England,E12000006,555,553,1,1,0,0,,293,284,4,2,2
E07000029,Copeland,North West,E12000002,149,149,0,0,0,0,,192,190,2,2,0
E07000150,Corby,East Midlands,E12000004,205,205,0,0,0,0,,120,118,2,2,0
E06000052,Cornwall,South West,E12000009,"1,923","1,874",90,63,7,20,,"1,004",880,79,43,36
E07000079,Cotswold,South West,E12000009,117,114,2,2,0,0,,146,141,6,1,5
E08000026,Coventry,West Midlands,E12000005,604,581,36,23,5,8,,903,821,71,37,34
E07000163,Craven,Yorkshire and The Humber,E12000003,74,75,1,0,1,0,,60,59,1,0,1
E07000226,Crawley,South East,E12000008,425,414,1,1,0,0,,403,399,6,5,1
E09000008,Croydon,London,E12000007,715,385,366,309,56,1,,"2,064",460,"1,640","1,589",51
E07000096,Dacorum,East of England,E12000006,360,355,9,6,1,2,,289,282,7,5,2
E06000005,Darlington,North East,E12000001,267,216,41,41,0,0,,453,403,67,61,6
E07000107,Dartford,South East,E12000008,374,277,95,85,9,1,,248,196,54,51,3
E07000151,Daventry,East Midlands,E12000004,181,177,6,5,0,1,,248,236,9,7,2
E06000015,Derby,East Midlands,E12000004,840,714,102,79,7,16,,"1,316","1,104",233,169,64
E07000035,Derbyshire Dales,East Midlands,E12000004,196,193,3,2,0,1,,63,63,0,0,0
E08000017,Doncaster,Yorkshire and The Humber,E12000003,559,544,12,8,4,0,,926,917,9,8,1
E07000108,Dover,South East,E12000008,262,261,4,3,1,0,,376,370,6,3,3
E08000027,Dudley,West Midlands,E12000005,155,143,10,8,2,0,,853,821,40,30,10
E06000047,Durham,North East,E12000001,"2,426","2,363",37,36,1,0,,877,857,23,23,0
E09000009,Ealing,London,E12000007,"1,351","1,263",116,51,25,40,,"1,099",924,138,55,83
E07000009,East Cambridgeshire,East of England,E12000006,342,340,1,1,0,0,,93,93,0,0,0
E07000040,East Devon,South West,E12000009,294,296,4,3,0,1,,140,130,4,4,0
E07000049,East Dorset,South West,E12000009,141,105,35,29,6,0,,97,80,17,17,0
E07000085,East Hampshire,South East,E12000008,169,162,6,5,1,0,,132,130,2,2,0
E07000242,East Hertfordshire,East of England,E12000006,243,234,5,3,1,1,,227,224,3,1,2
E07000137,East Lindsey,East Midlands,E12000004,519,513,10,9,1,0,,149,136,9,9,0
